_H:	$Name	$Categ	$Con_Abs
_D:	max_size_less_foot 	size	con
_D:	max_size_foot_to_two_yards 	size	con
_D:	max_size_greater_two_yards 	size	con
_D:	no_size	size	con
_D:	main_shape_1D 	shape	con
_D:	main_shape_2D 	shape	con
_D:	main_shape_3D 	shape	con
_D:	no_shape	shape	con
_D:	cross_section_rectangular 	cross_section	con
_D:	cross_section_circular 	cross_section	con
_D:	cross_section_other	cross_section	con
_D:	no_cross_section	cross_section	con
_D:	has_legs	parts	con
_D:	has_arms 	parts	con
_D:	has_neck_or_collar 	parts	con
_D:	no_parts	parts	con
_D:	white 	color	con
_D:	brown 	color	con
_D:	color_other_strong 	color	con
_D:	varied_colors 	color	con
_D:	dark 	color	con
_D:	no_color	color	con
_D:	hard	feel	con
_D:	soft 	feel	con
_D:	no_feel	feel	con
_D:	sweet 	taste	con
_D:	moves 	motion	con
_D:	indoors	location	con
_D:	in_kitchen 	location	con
_D:	on_ground	location	con
_D:	on_surface 	location	con
_D:	otherwise_supported 	location	con
_D:	outdoors_in_city 	location	con
_D:	in_country 	location	con
_D:	found_woods 	location	con
_D:	found_near_sea 	location	con
_D:	found_near_streams 	location	con
_D:	found_mountains 	location	con
_D:	found_on_farms 	location	con
_D:	found_in_public_buildings	location	con
_D:	found_in_transport 	location	con
_D:	found_in_factories 	location	con
_D:	surface_of_body 	location	con
_D:	above_waist 	location	con
_D:	no_location	location	con
_D:	natural 	nature	con
_D:	man_made 	nature	con
_D:	living 	kingdom	con
_D:	non_living	kingdom	con
_D:	plant 	kingdom	con
_D:	mammal 	class	con
_D:	bird 	class	con
_D:	human	class	con
_D:	wild	class	con
_D:	carnivore 	class	con
_D:	no_class	class	con
_D:	does_fly 	action	con
_D:	does_swim 	action	con
_D:	does_run 	action	con
_D:	no_act	action	con
_D:	feminine	gender	con
_D:	neuter	gender	con
_D:	male	gender	con
_D:	made_of_metal 	substance	con
_D:	made_of_liquid 	substance	con
_D:	made_of_other	substance	con
_D:	got_from_plants 	substance	con
_D:	got_from_animals 	substance	con
_D:	no_substance	substance	con
_D:	nice	affect	con
_D:	unpleasant 	affect	con
_D:	dangerous 	affect	con
_D:	positive	affect	con
_D:	negative	affect	con
_D:	no_affect	affect	con
_D:	container 	role	con
_D:	for_eating_drinking 	role	con
_D:	for_wearing 	role	con
_D:	for_other 	role	con
_D:	for_lunch_dinner 	role	con
_D:	used_for_games_or_recreation 	role	con
_D:	particularly_assoc_child 	role	con
_D:	particularly_assoc_adult 	role	con
_D:	no_role	role	con
_D:	no_magnitude	mag	abs
_D:	small	mag	abs
_D:	large	mag	abs
_D:	measurement	mag	abs
_D:	superordinate	mag	abs
_D:	true	truth	abs
_D:	fiction	truth	abs
_D:	information	truth	abs
_D:	no_truth	truth	abs
_D:	action	state	abs
_D:	state	state	abs
_D:	has_duration	time	abs
_D:	no_duration	time	abs
_D:	unchanging	time	abs
_D:	involves_change	time	abs
_D:	temporary	time	abs
_D:	permanent	time	abs
_D:	time_before	time	abs
_D:	future_potential	time	abs
_D:	relates_event	relates_event	abs
_D:	relates_location	relates_location	abs
_D:	relates_money	relates_money	abs
_D:	relates_possession	relates_possession	abs
_D:	relates_work	relates_work	abs
_D:	relates_power	relates_power	abs
_D:	relates_reciprocation	relates_reciprocation	abs
_D:	relates_request	relates_request	abs
_D:	relates_interpersonal	relates_interpersonal	abs
_D:	relates_other	relates_other	abs
_D:	quality_difficulty	quality_difficulty	abs
_D:	quality_organized	quality_organized	abs
_D:	quality_bravery	quality_bravery	abs
_D:	quality_sensitivity	quality_sensitivity	abs
_D:	quality_other	quality_other	abs
